Estonian Name,Latin Name,Category,EELIS link,strategy_present,strategy_file,Tüüp,Nimi ladina k,Nimi eesti k,Nimi inglise k,Rühm,Kaitsekategooria,Kirjeldus,Direktiivi lisad,Liigi ohustatuse hinnang,Ohutegurite kirjeldus,Liigi tegevuskava,"Kaitsealused alad, kus on kaitse eesmärgiks",Elupaik,Elupaiga seisund,Ohud,Populatsiooni muutused Eestis,Uuringud,Seisund ELis,Kokkuvõte,Analyze_by_sisukord,Kokkuvõte_text
kirjuhahk,Polysticta stelleri,II,https://infoleht.keskkonnainfo.ee/lnim/-511214118,False,A2%20Paljassaare%20kaitsekorralduskava%2C%20projektiala%2038.pdf,Kaitsealune liik,Polysticta stelleri,kirjuhahk,Steller's Eider,Linnud,II kategooria,,Linnudirektiivi I lisa,3. Väljasuremisohus (15.03.2019),"Liik konsentreerub suhteliselt väiksele alale, mis kattub paljus inimtegevusega. Eestis ohuteguriteks on häirimine (laevaliiklus, traalerid, paadid), õlireostus, kaaspüük ja merele rajatav infrastruktuur (rohkem tuleviku ohutegur). Kliima soojenemise mõju raskelt prognoositav: meri võib soolasemaks muutuda (merepinna tõus, soodne liigile) aga ka magedamaks muutuda (sademete hulga kasv, meri võib magedamaks muutuda ja saagiobjekte vähendada/väiksemaks muuta).",,Koorunõmme hoiuala (KLO2000315) Tareste maastikukaitseala (KLO1000601) Vilsandi rahvuspark (KLO1000250) Tagamõisa hoiuala (KLO2000332) Küdema lahe hoiuala (KLO2000318),,,,,,,,False,"Kirjuhahk (Polysticta stelleri, II) on kaitsealune lind, kelle esinemine seondub Paljassaare hoiualaga. Paljassaare hoiuala on oluline rände-, pesitsus- ning talvituspaik paljudele linnuliikidele, sealhulgas kirjuhahale, mille kaitse-eesmärgid on põhjalikult kaardistatud erinevates teaduslikes uuringutes ja inventuurides. Hoiuala on koondanud mitmeid kaitsealuseid liike ning on tuntud linnustiku mitmekesisuse poolest. Uuringud on näidanud, et Paljassaare kaitsealal viibivad ja pesitsevad mitmed ohustatud linnuliigid, sealhulgas ka kirjuhahk. Seetõttu on vajalik jätkata seiretegevust ja kaitsekorraldusi, et tagada selle liikide elupaikade säilimine ja kaitsmine. 

Kaitsealal on kinnitatud, et kirjuhahk on II kaitsekategoorias, mis näitab selle liigi haavatavust ning vajadust seniste uuringute ja seiretegevuste laiendamise järele. Oluline on, et Paljassaare looduskaitsealal on soov kaitsta kõiki rände-, pesitsus- ja talvituspaiku, et luua sobivad elutingimused ka kirjuhahhale. Seega tuleb arvestada, et hooajalised muutused ja tegevused alal peavad olema kooskõlas looduskaitse eesmärkidega, keskendudes ka spetsiaalselt kirjuhahka puudutavatele uuringutele ja nende tulemuste rakendamisele."
väikekoskel,Mergus albellus,II,https://infoleht.keskkonnainfo.ee/lnim/-771647779,False,EE906_mgt180119.pdf,,Mergus albellus,väikekoskel,,Linnud,II kategooria,,,,,,,,,,,,,,False,"Väikekoskel (Mergus albellus) on kaitsealune liik, kes pesitseb Eestisse ja rändab sügiseti, olles kaitseala rändepeatuspaigana. Kaitsealal on rändel kuni 400 väikekosklat. Väärib märkimist, et väikekoskel on loorkulle, soo-loorkulle, kalakotkale, kaljukotkale, väikepistrikule, tedrele ning teistele kaitstavatele linnuliikidele oluliseks toiduahelaks, toitudes peamiselt putukatest ja koorikloomadest. 

Eestis on see liik kevaditi kohal alates märtsist ning rändab talvel tagasi. Kaitseala pakub väikekosklatele mitmekesiseid elupaiku, sealhulgas madal- ja siirdesoode ning avamaastike, mis soodustavad nende pesitsust ja rännet. Peipsiveere looduskaitsealal on Peipsi järv ja Lämmijärv tähtsad rände ja toitumispaigad.

Kaitsealal on teadaolevalt ka 500 väikeluike, 1000 rabahane ja 1500 suur-laukhane, mis jääb rändeaegse esinemise jooksul ka väikekosklate toimetamisega ühte rändekogumisse. Suvel on väikesed rändetuhanded erakordselt olulised ja looduslike elupaikade kaitse kaudu püütakse hoida nende arvukus jätkusuutlikuna. 

Kaitsealadel nagu Emajõe Suursoo ja Piirissaar, kus rändel peatub suureneb nende liikide arv, muutes need piirkonnad tähtsaks linnudirektiivi I lisa liikide rände ajal."
väikehuik,Porzana parva,II,https://infoleht.keskkonnainfo.ee/lnim/-628647448,True,Roostikulindude_KTK_eelnou_14042015.pdf,Kaitsealune liik,Zapornia parva,väikehuik,Little Crake,Linnud,II kategooria,,Linnudirektiivi I lisa,3. Väljasuremisohus (26.04.2019),"Märgalade kuivendamine on suurim oht, kuigi veetaseme muutusi talub see liik paremini kui täpikhuik või rooruik.",Roostikulindude kaitse tegevuskava Roostikulindude_KTK_eelnou_14042015,Väinamere hoiuala (Hiiu) (KLO2000340) Endla looduskaitseala (KLO1000174) Ropka-Ihaste looduskaitseala (KLO1000633) Tõhela-Ermistu looduskaitseala (KLO1000737) Silma looduskaitseala (KLO1000197) Vooremaa maastikukaitseala (KLO1000294) Väinamere hoiuala (Pärnu) (KLO2000300) Matsalu rahvuspark (KLO1000300) Laidevahe looduskaitseala (KLO1000512) Luitemaa looduskaitseala (KLO1000282) Väinamere hoiuala (Läänemaa) (KLO2000241),2.5.1.1 Elupaiganõudlus,2.5.1.1 Elupaiganõudlus,"3. Ohutegurid, 2.5.4 Kaitsestaatus ja senise kaitse tõhususe analüüs",2.5.3.2 Levik ja arvukus Eestis,"2.5.2 Ülevaade uuringutest ja inventuuridest, 2.5.3.1 Levik ja arvukus Euroopas, 2.5.3.2 Levik ja arvukus Eestis",2.5.3.1 Levik ja arvukus Euroopas,Kokkuvõte,True,
mustsaba-vigle,Limosa limosa,II,https://infoleht.keskkonnainfo.ee/lnim/-1342562718,False,EE2022_mgt180119_1.pdf,Kaitsealune liik,Limosa limosa,mustsaba-vigle,Black-tailed Godwit,Linnud,II kategooria,,Linnudirektiivi II lisa B osa,4. Ohualdis (19.03.2019),Peamisteks liiki ohustavateks teguriteks Euroopas on elupaiga kadu ja degradeerumine (Leyrer jt 2018). Eestis täpsemalt poolooduslike koosluste hooldamise lakkamine või muutumine. Sooelupaikade puhul on ohuteguriks soode jätkuv kuivendamine. Peamisteks ohtudeks talvitusaladel on maakasutuse muutused (Leyrer jt 2018). Potentsiaalseks ohuks üle kogu levila on kliimamuutused.,,Silma looduskaitseala (KLO1000197) Nätsi-Võlla looduskaitseala (KLO1000201) Lihula looduskaitseala (KLO1000747) Lavassaare looduskaitseala (KLO1000645) Pärnu rannaniidu looduskaitseala (KLO1000584) Tõhela-Ermistu looduskaitseala (KLO1000737) Alam-Pedja looduskaitseala (KLO1000455) Väikese väina hoiuala (KLO2000341) Väinamere hoiuala (Läänemaa) (KLO2000241) Manija maastikukaitseala (KLO1000316) Marimetsa looduskaitseala (KLO1000215) Väinamere hoiuala (Hiiu) (KLO2000340) Abruka hoiuala (KLO2000303) Nehatu looduskaitseala (KLO1000175) Läänemaa Suursoo maastikukaitseala (KLO1000124) Alutaguse rahvuspark (KLO1000669) Tudusoo looduskaitseala (KLO1000277) Marimetsa-Õmma hoiuala (Läänemaa) (KLO2000151) Laidevahe looduskaitseala (KLO1000512) Mullutu-Loode looduskaitseala (KLO1000739) Pärnu lahe hoiuala (KLO2000286) Varbla laidude looduskaitseala (KLO1000647) Väinamere hoiuala (Saare) (KLO2000339) Vilsandi rahvuspark (KLO1000250) Audru poldri looduskaitseala (KLO1000632) Avaste looduskaitseala (KLO1000464) Tuhu looduskaitseala (KLO1000664) Kübassaare maastikukaitseala (KLO1000295) Puhtu-Laelatu looduskaitseala (KLO1000176) Räpina poldri hoiuala (KLO2000128) Väinamere hoiuala (Pärnu) (KLO2000300) Matsalu rahvuspark (KLO1000300) Kahtla-Kübassaare hoiuala (KLO2000309),,,,,,,,False,"Mustsaba-vigle eelistab pesitseda märjematel aladel, kuid on viimaste kümnete aastate jooksul kadunud Silma looduskaitsealalt. Asemele on tulnud mitmed teised linnuliigid, sealhulgas roolinnud nagu rästas ja kõrkja-roolind. Rannaniidud, kus mustsaba-vigle pesitses, on halvas seisundis ning oluline on nende hooldamine, et tagada peaaegu katkematu elupaik. Rannaniitude hooldamise kaudu on võimalik kasvatada mustsaba-vigle arvukust, kelle pesitsemine on seotud sobivate elupaikade kvaliteediga. Mustsaba-vigle on muutunud taas regulaarseks haudelinnuks, kuid on tõendeid, et tema arvukus on languses.

Eesti ohustatud liikide punase nimestiku kohaselt kuulub mustsaba-vigle kaitsekategooriasse ning on oluline, et rannaniitude hooldamisprotsessidesse kaasatakse ka elupaikade taastamine ja kvaliteedi tõstmine. Peamised tegevused, millega saab suurendada mustsaba-vigle populatsiooni, hõlmavad puude ja põõsaste eemaldamist, et avada vaated ja parandada toitumisolusid rändlindudele.

Silma looduskaitsealal on mustsaba-vigle pesitsenud vähemalt 10 paari, kuid müsteerium on, et kas mõnel üksikul paaril võib olla jäänud pesitseda. Oluline on jälgida roostiku arengut ja veepiiri avamist, et tagada sobivad tingimused mustsaba-vigle ja teiste rannaniidukahlajate jaoks. Hooldusmeetmete rakendamine, sealhulgas roostiku niitmine ja veepiiri avamine, on vajalik, et toetada mustsaba-vigle elupaikade taastumist ja looduslike ökosüsteemide säilimist."
tutt-tiir,Sterna sandvicensis,II,https://infoleht.keskkonnainfo.ee/lnim/-2016713806,True,Tiirude_KTK_eelnou_03.09.2015.pdf,Kaitsealune liik,Thalasseus sandvicensis,tutt-tiir,Sandwich Tern,Linnud,II kategooria,,Linnudirektiivi I lisa,6. Soodsas seisundis (02.05.2019),"Tutt-tiiru ohustavad inimese häiriv tegevus pesapaikades ja kisklus, mille tõttu sigimisedukus väheneb ja linnud võivad pesitsusala hüljata. Mõned kunagised pesitsuslaiud on muutunud liigile ebasobivaks roostumise tõttu. Liigile on ebasoodsad kalade töönduslik ülepüük ja merereostus.",Tiirude kaitse tegevuskava Tiirude_KTK_eelnou_03.09.2015,Abruka looduskaitseala (KLO1000589) Väinamere hoiuala (Hiiu) (KLO2000340) Kihnu laidude looduskaitseala (KLO1000628) Laidevahe looduskaitseala (KLO1000512) Väinamere hoiuala (Saare) (KLO2000339) Vilsandi rahvuspark (KLO1000250) Puhtu-Laelatu looduskaitseala (KLO1000176) Väikese väina hoiuala (KLO2000341) Sorgu looduskaitseala (KLO1000627) Väinamere hoiuala (Pärnu) (KLO2000300) Matsalu rahvuspark (KLO1000300) Kuressaare lahe hoiuala (KLO2000317) Väinamere hoiuala (Läänemaa) (KLO2000241) Kahtla-Kübassaare hoiuala (KLO2000309) Sääre looduskaitseala (KLO1000662),2.2.1.1 Elupaiganõudlus,2.2.1.1 Elupaiganõudlus,"3. Ohutegurid, 2.2.3 Kaitsestaatus ja senise kaitse tõhususe analüüs",2.2.2.2 Levik ja arvukus Eestis,"3.1 Uuringud ja inventuurid, 2.2.2.1 Levik ja arvukus maailmas ja Euroopas, 2.2.2.2 Levik ja arvukus Eestis",2.2.2.1 Levik ja arvukus maailmas ja Euroopas,Kokkuvõte,True,
krüüsel,Cepphus grylle,II,https://infoleht.keskkonnainfo.ee/lnim/70608849,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Cepphus grylle,krüüsel,Black Guillemot,Linnud,II kategooria,,,3. Väljasuremisohus (01.02.2019),Suurimaks ohuks on õlireostus ning kaaspüük. Võimalik oht ka kaljuronimine.,,Vilsandi rahvuspark (KLO1000250) Vaindloo hoiuala (KLO2000037) Pakri maastikukaitseala (KLO1000113) Tagamõisa hoiuala (KLO2000332) Kura kurgu hoiuala (KLO2000316) Koorunõmme hoiuala (KLO2000315) Pakri hoiuala (KLO2000167),,,,,,,,False,
roherähn,Picus viridis,II,https://infoleht.keskkonnainfo.ee/lnim/1027763355,False,Eesti_Loodus02_2015.pdf,Kaitsealune liik,Picus viridis,roherähn,,Linnud,II kategooria,,,2. Kriitilises seisundis (30.03.2019),,,Otepää looduspark (KLO1000559) Kübassaare maastikukaitseala (KLO1000295),,,,,,,,False,"Roherähn, kes kuulub rähnide hulka, hakkas Eestisse jõudma 1990. aastatel ja suudab elada peamiselt kaitsealadel, kus on oluliselt vanemat puitu ja rohkesti putukaid. Roherähni arvukus on Eestis viimastel aastatel tugevasti vähenenud, peamiselt majandusmetsades, kus tema toidulaud on piiratud. Erinevalt teistest rähniliikidest, nagu suur-kirjurähn ja hallpea-rähn, on roherähnide arvukus stabiilsena püsinud ainult teatud aladel. Uuringud on näidanud, et roherähn ei suuda elada lihtsalt mis tahes metsas, vaid vajab spetsiifilisi elupaiku, kus on piisavalt vanu puid, et paljuneda ja toitu leida. Aastatel 1983–2013 sooritatud seirete põhjal on selgunud, et Kaitsealadel elavad roherähnid tihedamini, kuid nende üldine arvukus jääb siiski madalaks. 

Roherähni elupaikade säilitamine on seega äärmiselt oluline, et vältida pikaajalist kadumist ja tagada liikide koosolekud, mis aitavad toetada ökosüsteemi tasakaalu ning mitmekesisust. Aja jooksul on roherähnide levila piirdunud, kuid nende kohandamine uutele tingimustele ja keskkonnamuutustele on samuti oluline, et nad saaksid järgnevatel aastatel ellu jääda."
valgeselg-kirjurähn,Dendrocopos leucotos,II,https://infoleht.keskkonnainfo.ee/lnim/497316959,True,Valgeselg_kirjurahni_LTK_eeln6u.pdf,Kaitsealune liik,Dendrocopos leucotos,valgeselg-kirjurähn,White-backed Woodpecker,Linnud,II kategooria,"Valgeselg-kirjurähn (Dendrocopos leucotos) on väikesearvuline haudelind, kes on Eesti punase nimestiku järgi ohuvälises seisus ning arvatud looduskaitseseaduse alusel vähearvuka ja ohustatud liigina II kategooria kaitsealuste liikide hulka. Eelistab vanemaid lehtpuu enamusega puistuid. Peamised ohutegurid on metsade majandamine, mille tulemusena väheneb metsade vanus ja rähnile sobivate elupaikade pindala.",Linnudirektiivi I lisa,6. Soodsas seisundis (29.03.2019),,Valgeselg-kirjurähni (Dendrocopos leucotos) kaitse tegevuskava Valgeselg_kirjurahni_LTK_eeln6u,"Kärevere looduskaitseala (KLO1000600) Lavassaare looduskaitseala (KLO1000645) Meenikunno looduskaitseala (KLO1000641) Pärnu maastikukaitseala (KLO1000603) Järveotsa maastikukaitseala (KLO1000323) Nätsi-Võlla looduskaitseala (KLO1000201) Massiaru hoiuala (KLO2000297) Parmu LKA, Ritsiko skv. (KLO1101193) Lanksaare-Veelikse hoiuala (KLO2000252) Kiusumetsa hoiuala (KLO2000242) Väinamere hoiuala (Läänemaa) (KLO2000241) Tudusoo looduskaitseala (KLO1000277) Parmu LKA, Parmu skv. (KLO1101184) Nigula looduskaitseala (KLO1000213) Haanja looduspark (KLO1000469) Otepää looduspark (KLO1000559) Naissaare looduspark (KLO1000540) Alam-Pedja looduskaitseala (KLO1000455) Läänemaa Suursoo maastikukaitseala (KLO1000124) Matsalu rahvuspark (KLO1000300) Endla looduskaitseala (KLO1000174) Karula rahvuspark (KLO1000242) Silma looduskaitseala (KLO1000197) Sookuninga looduskaitseala (KLO1000317) Parmu looduskaitseala (KLO1000413) Kõnnumaa maastikukaitseala (KLO1000505) Avaste looduskaitseala (KLO1000464) Sõrve looduskaitseala (KLO1000758) Kivikupitsa maastikukaitseala (KLO1000330) Parmu LKA, Vineki skv. (KLO1101186) Keretü looduskaitseala (KLO1000668) Urissaare hoiuala (KLO2000289) Kaansoo soomuraka püsielupaik (KLO3002652) Jäärja hoiuala (KLO2000244) Mäeküla hoiuala (KLO2000280) Alutaguse rahvuspark (KLO1000669) Keeri-Karijärve looduskaitseala (KLO1000285) Nabala-Tuhala looduskaitseala (KLO1000634) Vooremaa maastikukaitseala (KLO1000294) Vaskjõe looduskaitseala (KLO1000567) Parmu LKA, Veieri skv. (KLO1101185) Nepstemurru looduskaitseala (KLO1000750) Lihula looduskaitseala (KLO1000747) Puhtu-Laelatu looduskaitseala (KLO1000176)",1.1. Elupaik,4. Ohutegurid,4. Ohutegurid,2.2. Levik ja arvukus Eestis,"1.6. Olulisemad uuringud ja inventuurid, 2.2. Levik ja arvukus Eestis, 3.3. Senise kaitse tõhusus",2.1. Levik ja arvukus Euroopas,Kokkuvõte,True,
laanerähn,Picoides tridactylus,II,https://infoleht.keskkonnainfo.ee/lnim/-484212236,False,EE910_mgt180611.pdf,Kaitsealune liik,Picoides tridactylus,laanerähn,,Linnud,II kategooria,"Laanerähn (Picoides tridactylus) on väikesearvuline haudelind, kes on Eesti punase nimestiku järgi ohuvälises seisus ning arvatud looduskaitseseaduse alusel vähearvuka ja ohustatud liigina II kategooria kaitsealuste liikide hulka. Laanerähn elab suuremates loodusmaastikulaamades. Laanerähn eelistab vanemaid puistuid, kus on rohkelt kuivanud puid, soovitavalt kuuski. Liik on levinud üle terve Eesti. Igal talvel rändab põhja poolt Eestisse laanerähni liigikaaslasi, suurendades liigi kohapealset arvukust kaks kuni kolm korda. Laanerähni ohustavad tegurid on metsade majandamine, mille tulemusena väheneb metsade vanus ja rähnile sobivate elupaikade pindala. (Liigi tegevuskava eelnõu 2012, T. Evestus ja A. Nurmla)",Linnudirektiivi I lisa,4. Ohualdis (30.03.2019),,,"Kärevere looduskaitseala (KLO1000600) Urissaare hoiuala (KLO2000289) Nabala-Tuhala looduskaitseala (KLO1000634) Meenikunno looduskaitseala (KLO1000641) Kolga looduskaitseala (KLO1000271) Maalasti LKA, Navesti skv. (KLO1101457) Parmu looduskaitseala (KLO1000413) Maalasti looduskaitseala (KLO1000626) Lindi looduskaitseala (KLO1000517) Niinsoni looduskaitseala (KLO1000546) Nepstemurru looduskaitseala (KLO1000750) Lahemaa rahvuspark (KLO1000511) Põhja-Kõrvemaa looduskaitseala (KLO1000598) Keeri-Karijärve looduskaitseala (KLO1000285) Nigula looduskaitseala (KLO1000213) Lanksaare-Veelikse hoiuala (KLO2000252) Kuulmajärve looduskaitseala (KLO1000749) Maalasti LKA, Maalasti skv. (KLO1101458) Lindi LKA, Lindi skv. (KLO1101864) Alam-Pedja looduskaitseala (KLO1000455) Kaagvere limatünniku püsielupaik (KLO3002108) Parmu LKA, Veieri skv. (KLO1101185) Parmu LKA, Vineki skv. (KLO1101186) Parmu LKA, Parmu skv. (KLO1101184) Massiaru hoiuala (KLO2000297) Ohepalu looduskaitseala (KLO1000230) Karula rahvuspark (KLO1000242) Sookuninga looduskaitseala (KLO1000317) Kõrvemaa maastikukaitseala (KLO1000265) Kivikupitsa maastikukaitseala (KLO1000330) Keretü looduskaitseala (KLO1000668) Haanja looduspark (KLO1000469) Endla looduskaitseala (KLO1000174) Otepää hoiuala (KLO2000117) Otepää looduspark (KLO1000559) Alutaguse rahvuspark (KLO1000669) Tudusoo looduskaitseala (KLO1000277) Parmu LKA, Ritsiko skv. (KLO1101193) Pärnu maastikukaitseala (KLO1000603) Kõpu looduskaitseala (KLO1000570) Sõrve looduskaitseala (KLO1000758) Jäärja hoiuala (KLO2000244) Raikküla-Paka maastikukaitseala (KLO1000746) Kiusumetsa hoiuala (KLO2000242) Mäeküla hoiuala (KLO2000280) Niinsoni LKA, Niinsoni skv. (KLO1100703) Kuulmajärve LKA, Kuulmajärve skv. (KLO1101999)",,,,,,,,False,"Laanerähn ehk kolmvarvas-rähn (Picoides tridactylus) on Eestis mandriosas aastaringselt esinev sage haudelind, kelle arvukus ja populatsiooni seisund on kaitse-eesmärkide hulka kantud. Nigula looduskaitsealal pesitseb vähemalt 10 paar laanerähni. Valdav osa laanerähni pesapaiku on tsoneeritud sihtkaitsevööndisse, kus tuleb arvestada Looduskaitseseaduses sätestatud piiranguid. Laanerähn elab vanades looduslikes metsades ja sellele sobivad elupaigad on need, kus on rohkesti surnud või surevaid puid. Liigi peamiseks ohuteguriks on sobivate elupaikade hävimine, mistõttu on oluline kaitsta ja säilitada nende looduslikke elupaiku. Kaitsekorraldusperioodi eesmärk on tagada laanerähni pesitsusedukus ning vajadusel teha seireid, et jälgida liikide populatsiooni seisundit ja elupaikade kvaliteeti."
randkiur,Anthus petrosus,II,https://infoleht.keskkonnainfo.ee/lnim/-228262971,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Anthus petrosus,randkiur,Eurasian Rock Pipit,Linnud,II kategooria,,,2. Kriitilises seisundis (22.04.2019),Eesti asurkonna suurim ohutegur on asurkonna väiksus.,,Vilsandi rahvuspark (KLO1000250),,,,,,,,False,
luha-sinirind,Luscinia svecica cyanecula,II,https://infoleht.keskkonnainfo.ee/lnim/1894812450,False,Soomaa%20rahvuspargi%20kaitsekorralduskava.pdf,Kaitsealune liik,Luscinia svecica subsp. cyanecula,luha-sinirind,Bluethroat,Linnud,II kategooria,,,3. Väljasuremisohus (23.05.2019),Eestis võib kohalikest teguritest arvukust kahandada pigem luha- ja sooserva-elupaikade kinnikasvamine ja kattumine liitunud võsa või isegi puistuga.,,Puhtu-Laelatu looduskaitseala (KLO1000176) Nehatu looduskaitseala (KLO1000175),,,,,,,,False,"Luha-sinirind (Luscinia svecica cyanecula) on II kaitsekategooria liik ja tegemist on Eesti kaitse-eesmärk ohustatud liikide punase nimestiku ohualtis seisundis liigiga. Luha-sinirind on rästaslaste sugukonda kuuluv lind. Soomaa rahvuspargis pesitseb vähemalt kaks paari luha-sinirindasid. Eestis on ta hajusa levikuga haruldane haudelind, punase nimestiku ohualtis seisundis liigiga. Talvitama lendab Lääne- ja Lõuna-Euroopa rannikualadele või jäävabadele järvedele, pehmetel talvedel jääb osa ka meile. Kuresoos ja Öördi rabas on läbi viidud raba servaalade loodusliku pesitsusterritoorium Halliste jõe luhal."
punakurk-kaur,Gavia stellata,III,https://infoleht.keskkonnainfo.ee/lnim/1497885429,False,EE907_mgt200116.pdf,Kaitsealune liik,Gavia stellata,punakurk-kaur,Red-throated Diver,Linnud,III kategooria,,Linnudirektiivi I lisa,1. Piirkonnas välja surnud (01.03.2019),,,"Gretagrundi hoiuala (KLO2000344) Kura kurgu hoiuala (KLO2000316) Matsalu rahvuspark (KLO1000300) Neugrundi LKA, Neugrundi skv. (KLO1102011) Endla looduskaitseala (KLO1000174) Väinamere hoiuala (Läänemaa) (KLO2000241) Neugrundi looduskaitseala (KLO1000753)",,,,,,,,False,"Punakurk-kaur (Gavia stellata) mainitakse tekstis, kus kajastatakse linnuliikide kaitse eesmärke ning loodusdirektiivide seost elupaikade kaitsega. Refleksioonid punakurgaurist esinevad kesksetes lõigus, mis käsitleb Endla looduskaitseala kaitse-eesmärke ja looduslikke elupaiku. 

Kombineeritud lõik punakurk-kaurist:

""Endla looduskaitseala (edaspidi kaitseala) kaitse-eesmärk on kaitsta erinevaid looduslikke elupaiku, sealhulgas ka punakurgaur (Gavia stellata), mille isendite elupaiku kaitstakse vastavalt nõukogu direktiividele, ning edendada nende elukeskkonna hoidmist ja taastamist. Punakurk-kaur on üks liikidest, mis on seotud märgala kaitse ja linnustiku kaitse programmidega."""
väikepütt,Tachybaptus ruficollis,III,https://infoleht.keskkonnainfo.ee/lnim/215406179,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Tachybaptus ruficollis,väikepütt,,Linnud,III kategooria,,,3. Väljasuremisohus (02.05.2019),Suurim oht on märgalade kuivendamine ja nende kvaliteedi langus.,,,,,,,,,,False,
hallpõsk-pütt,Podiceps grisegena,III,https://infoleht.keskkonnainfo.ee/lnim/1068971839,False,Kaarmise-J%C3%B5empa%20looduskaitseala%20kaitse-eeskirja%20eeln%C3%B5u%20seletuskiri.pdf,Kaitsealune liik,Podiceps grisegena,hallpõsk-pütt,Red-necked Grebe,Linnud,III kategooria,,,3. Väljasuremisohus (29.04.2019),Veekogude kinnikasvamine (vabaveealade kadumine) ning lausalise roostikumüüri tekkimine veekogu kallastele.,,Väinamere hoiuala (Läänemaa) (KLO2000241) Kahtla-Kübassaare hoiuala (KLO2000309) Nehatu looduskaitseala (KLO1000175) Endla looduskaitseala (KLO1000174) Loode-Peipsi hoiuala (Tartu) (KLO2000164) Ropka-Ihaste looduskaitseala (KLO1000633) Jaandi hoiuala (KLO2000305) Silma looduskaitseala (KLO1000197) Loode-Peipsi hoiuala (Jõgeva) (KLO2000060) Laidevahe looduskaitseala (KLO1000512) Loode-Peipsi hoiuala (Ida-Viru) (KLO2000088) Mullutu-Loode looduskaitseala (KLO1000739) Tagamõisa hoiuala (KLO2000332) Riksu ranniku hoiuala (KLO2000327) Kaarmise-Jõempa looduskaitseala (KLO1000757) Tõhela-Ermistu looduskaitseala (KLO1000737) Vooremaa maastikukaitseala (KLO1000294) Küdema lahe hoiuala (KLO2000318) Ura maastikukaitseala (KLO1000585),,,,,,,,False,"Kaarmise järvel on keskkonnaregistri andmetel registreeritud II kaitsekategooria linnuliigi hallpõsk-pütt (Podiceps grisegena) pesitsemine. Eeldatavalt on Kaarmise järv endiselt sobilik hallpõsk-püti pesitsemiseks. Kaitseala kaitse-eesmärgiks on tagada hallpõsk-püti ning seal pesitsevate lindude elupaikade kaitse. Piiranguvööndisse jäävad majanduslikult kasutatavad alad, mis ei kuulu kaitse-eesmärkide täitmisel kahjustamisele. Hallpõsk-püti pesitsemisega seonduvad vajadused on arvestatud Kaarmise-Jõempa sihtkaitsevööndi kaitse-eesmärkides. 2015. aastal registreeriti Kaarmise järvel koos hallpõsk-püti pesitsemisega ka laululuike ja sookure pesitsemine. Kaarmise-Jõempa kaitsealal hoolitsetakse loodusdirektiivi nõuete täitmise eest, et kaitsta väärtuslikke linnuliike, sealhulgas hallpõsk-pütti, nende elupaikade puutumatust ja bioloogilist mitmekesisust."
punakael-lagle,Branta ruficollis,III,https://infoleht.keskkonnainfo.ee/lnim/581016833,False,hanede_tk_2021-2025_0.pdf,Kaitsealune liik,Branta ruficollis,punakael-lagle,Red-breasted Goose,Linnud,III kategooria,,Linnudirektiivi I lisa,8. Mittehinnatav (30.03.2019),,,,,,,,,,,False,"Punakael-lagle (Branta ruficollis) on Eestis haruldane ja vähearvuline linnuliik, keda kevadel nähakse üksikute isendite kaupa. Tema peamised talvitusalad asuvad Arktikas, kus punakael-lagle rändab, kuid Eestis toimub tema ränne peamiselt kevadel. Eestis looduslikult esinevate haneliikide kaitsmiseks ja nende populatsiooni säilitamiseks on oluline kehtestada regulatsioonid, mis arvestavad nende haruldasust ja ökosüsteemi tasakaalu. Peale selle on punakael-lagle kaitse alla kuuluv liik, mille seire ja ohjamine on sarnaste meetoditega nagu teiste haneliikide puhul, sealhulgas kevadine heidutusjaht, mis peab olema rangelt reguleeritud ja põhjendatud, et vähendada rändel esinevat saagikadu. 

Eestis on punakael-lagle populaarsus madal, kuid selle kaitsmine on ülioluline, et vältida edasist vähenemist ja tagada pikaajaline püsimine looduslikes elupaikades. Rangete kaitsemeetmete tõttu keskenduvad hoiakud ja uuringud peamiselt selle liigi elupaikade kaitsmisele, et tagada selle edasine eksistents."
